reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp,before_temp_change,after_temp_change,across_temp_change,accident_category
NS,140613,2021-02-16,1:50 AM,Other impacts,0,ATLANTA,GA,36,4.0,Dark,Clear,Yard,Single Car,0,10356,0,20652,H601,33.793527,-84.444462,44.6,30.4,37.3,-14.200000000000003,6.899999999999999,-7.300000000000004,Other
BNSF,NW1120122,2020-11-29,2:30 PM,Derailment,0,AUBURN,WA,45,2.0,Day,Fog,Yard,Light loco(s),5,16837,1500,18337,H704,47.276628,-122.22974,44.6,37.2,45.0,-7.399999999999999,7.799999999999997,0.3999999999999986,Other
SLR,SLR714015G,2015-03-23,2:55 PM,Hwy-rail crossing,0,AUBURN,ME,27,2.0,Day,Clear,Main,Freight Train,10,20000,8000,28000,M304,44.033774,-70.284322,18.5,17.5,24.3,-1.0,6.800000000000001,5.800000000000001,Other
RTDC,37517,2017-02-14,3:37 AM,Hwy-rail crossing,0,AURORA,CO,20,4.0,Dark,Clear,Main,EMU,69,600000,5000,605000,M309,39.759678,-104.810126,37.2,34.9,43.3,-2.3000000000000043,8.399999999999999,6.099999999999994,Other
RTDC,171256,2021-04-28,12:49 PM,Hwy-rail crossing,0,AURORA,CO,50,2.0,Day,Clear,Main,EMU,77,250000,8325,258325,M308,39.759678,-104.810126,48.3,44.5,52.8,-3.799999999999997,8.299999999999997,4.5,Other
BNSF,PR1016201,2016-10-14,8:42 AM,Hwy-rail crossing,0,AURORA,NE,45,1.0,Dawn,Clear,Main,Freight Train,26,7323,29614,36937,M302,40.824921,-98.073344,43.0,53.2,67.4,10.200000000000003,14.200000000000003,24.400000000000006,Other
NS,155741,2024-02-09,11:14 PM,Derailment,0,AURORA,NC,53,4.0,Dark,Clear,Main,Freight Train,0,0,136943,1306208,E53C,35.298215,-76.846813,43.4,49.2,63.1,5.800000000000004,13.899999999999999,19.700000000000003,Other
CSX,000216110,2024-02-09,11:14 PM,Derailment,0,AURORA,NC,53,4.0,Dark,Clear,Main,Freight Train,23,1169265,0,1306208,E53C,35.298215,-76.846813,43.4,49.2,63.1,5.800000000000004,13.899999999999999,19.700000000000003,Other
BNSF,PR0217114,2017-02-25,5:47 PM,Derailment,0,AURORA,NE,30,3.0,Dusk,Clear,Industry,Freight Train,2,33619,300,33919,T311,40.868049,-98.046987,24.3,22.9,33.5,-1.4000000000000021,10.600000000000001,9.2,Track-related
RTDC,56194,2017-10-28,4:46 AM,Other impacts,0,AURORA,CO,37,4.0,Dark,Clear,Siding,EMU,5,15017,983,16000,T403,39.761064,-104.81553,30.4,44.0,51.7,13.600000000000001,7.700000000000003,21.300000000000004,Track-related
RTDC,46006,2017-05-11,8:20 AM,Other impacts,0,AURORA,CO,49,2.0,Day,Cloudy,Main,EMU,74,13719,1719,15438,T404,39.760152,-104.812054,49.6,51.0,60.7,1.3999999999999986,9.700000000000003,11.100000000000001,Track-related
BNSF,CH0522103,2022-05-09,4:10 AM,Derailment,0,AURORA,IL,59,1.0,Dawn,Cloudy,Industry,Light loco(s),2,155,37489,37644,T113,41.770663,-88.262256,56.0,68.3,77.7,12.299999999999997,9.400000000000006,21.700000000000003,Track-related
LIRC,LIRC000019,2021-10-13,9:30 AM,Derailment,0,AUSTIN,IN,72,2.0,Day,Clear,Main,Work train,20,138284,7170,145454,M599,38.757382,-85.815323,70.9,67.1,74.8,-3.8000000000000114,7.700000000000003,3.8999999999999915,Other
CSX,000181797,2019-03-12,10:30 AM,Hwy-rail crossing,0,AUSTIN,IN,41,2.0,Day,Clear,Main,Freight Train,45,8285,0,26285,M302,38.7459,-85.80802,45.3,42.1,56.5,-3.1999999999999957,14.399999999999999,11.200000000000003,Other
LIRC,0312201901,2019-03-12,10:30 AM,Hwy-rail crossing,0,AUSTIN,IN,41,2.0,Day,Clear,Main,Freight Train,0,0,18000,26285,M302,38.745769,-85.807994,45.3,42.1,56.5,-3.1999999999999957,14.399999999999999,11.200000000000003,Other
CSX,000186844,2019-11-30,4:56 PM,Obstruction,0,AUXIER,KY,46,3.0,Dusk,Rain,Main,Freight Train,4,69700,0,69700,M404,37.743762,-82.781792,38.6,43.8,52.9,5.199999999999996,9.100000000000001,14.299999999999997,Other
